Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
3RMW440,All Men's,Shoe,The Royale - Blanco,11 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW445,All Men's,Shoe,The Royale - Blanco,11.5 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW450,All Men's,Shoe,The Royale - Blanco,12 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW460,All Men's,Shoe,The Royale - Blanco,13 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW470,All Men's,Shoe,The Royale - Blanco,14 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RMW480,All Men's,Shoe,The Royale - Blanco,15 Blanco White,179.00,Yes,https://www.greats.com/products/the-royale-blanco-white,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-Blanco-3RMW-Product-101_56ecf38d-038c-4e43-b28c-b50c5988d806.jpg?v=1563990962,"The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own."
3RGF400,All Men's,Shoe,The Royale - Ash Grey,7 Ash Grey,179.00,Yes,https://www.greats.com/products/the-royale-ash-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-AshGrey-3RGF-Product-101_1b24e1e4-9245-4382-b795-d5ddaf5e724e.jpg?v=1563990089,"<meta charset=""utf-8"">
<p>The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own.</p>"
3RGF410,All Men's,Shoe,The Royale - Ash Grey,8 Ash Grey,179.00,Yes,https://www.greats.com/products/the-royale-ash-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-AshGrey-3RGF-Product-101_1b24e1e4-9245-4382-b795-d5ddaf5e724e.jpg?v=1563990089,"<meta charset=""utf-8"">
<p>The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own.</p>"
3RGF415,All Men's,Shoe,The Royale - Ash Grey,8.5 Ash Grey,179.00,Yes,https://www.greats.com/products/the-royale-ash-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-AshGrey-3RGF-Product-101_1b24e1e4-9245-4382-b795-d5ddaf5e724e.jpg?v=1563990089,"<meta charset=""utf-8"">
<p>The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own.</p>"
3RGF420,All Men's,Shoe,The Royale - Ash Grey,9 Ash Grey,179.00,Yes,https://www.greats.com/products/the-royale-ash-grey,https://cdn.shopify.com/s/files/1/0238/2821/products/Mens-193-Royale-AshGrey-3RGF-Product-101_1b24e1e4-9245-4382-b795-d5ddaf5e724e.jpg?v=1563990089,"<meta charset=""utf-8"">
<p>The Royale is a premium quality essential sneaker. Every pair is handmade in Italy by world renowned craftsmen using only luxury materials like full grain leather (the type that truly gets better with age). The inside is lined with the same supple leather, making socks optional.<br><br>Every pair arrives with a set of waxed-cotton laces that will develop a unique patina of their own.</p>"
